StoreID,SKU,RSP,Stock_On_Hand
598,12502,113,13
598,44924,42,0
598,33221,160,0
598,52677,69,10
598,55321,127,0
598,12896,1333,67
598,12079,1194,0
598,68942,865,21
598,13009,1449,0
598,13010,1555,2
598,40185,103,0
598,12926,1663,0
598,12923,35,226
598,12925,33,0
598,12924,22,30
598,12494,79,91
598,11208,32,4
598,11209,53,114
598,40941,24,0
598,40942,46,54
598,12123,53,0
598,34729,75,0
598,12584,14,134
598,12810,16,18
598,61005,24,15
598,68513,132,68
598,60581,257,0
598,60582,393,0
598,61399,138,37
598,61400,190,4
598,69432,26,3
598,54172,73,17
598,54176,73,7
598,58684,190,2
598,73199,17,0
598,73200,14,12
598,73201,13,0
598,60305,25,237
598,60306,36,11
598,69595,456,6
598,69596,332,0
598,71719,49,26
598,84307,47,0
598,85442,65,1
598,85443,65,8
598,68469,198,0
598,68470,198,0
598,68471,313,2
598,68472,313,0
598,59289,337,0
598,59888,37,0
598,12495,22,165
598,11923,34,0
598,12546,54,0
598,40187,17,0
598,11517,51,4
598,13018,94,14
598,31574,1605,0
598,32347,2094,0
598,31575,1263,0
598,51606,144,0
598,11722,309,156
598,11485,165,0
598,12616,63,0
598,10898,348,58
598,33128,155,8
598,33127,155,0
598,34105,50,66
598,33530,444,0
598,33354,11,0
598,68551,267,98
598,64778,8,0
598,59290,9,0
598,59536,8,10
598,34104,19,292
598,11174,122,0
598,34226,360,0
598,33307,8,0
598,12498,35,0
598,59181,269,0
598,68948,11,5
598,67553,53,0
598,51608,269,2
598,11714,364,5
598,11527,199,0
598,11719,404,3
598,33664,342,0
598,33663,334,0
598,33661,320,161
598,51609,148,0
598,34387,288,45
598,11723,432,0
598,11686,271,0
598,11189,92,0
598,10755,164,0
598,11718,232,5
598,10756,193,12
598,11715,382,2
598,11357,213,0
598,66436,28,8
598,63374,93,0
598,60307,56,4
598,33071,10,52
598,21040,4,240
598,21897,43,29
598,21959,16,157
598,22279,23,0
598,10897,91,20
598,65158,23,0
598,32554,87,44
598,32582,74,149
