StoreID,SKU,RSP,Stock_On_Hand
538,12502,22,53
538,44924,42,60
538,33221,160,0
538,52677,69,16
538,55321,127,0
538,13096,666,0
538,12896,1333,17
538,12079,1194,10
538,68942,865,39
538,13009,1449,0
538,13010,1555,0
538,40185,103,1
538,13131,269,0
538,12926,1663,10
538,12923,35,161
538,12925,33,0
538,12924,22,0
538,12494,79,144
538,11208,32,4
538,11209,53,0
538,40941,24,0
538,40942,46,40
538,12123,53,21
538,34729,75,0
538,12584,14,288
538,12810,16,60
538,35673,3850,1
538,61005,24,3
538,68513,132,51
538,60581,257,3
538,60582,393,3
538,61399,138,6
538,61400,190,6
538,69432,26,6
538,54172,73,18
538,54176,73,21
538,58684,190,17
538,73199,17,8
538,73200,14,5
538,73201,13,0
538,60305,25,1
538,60306,36,2
538,69575,445,0
538,69576,445,1
538,69595,456,1
538,69596,332,0
538,71719,49,2
538,84307,47,0
538,85442,65,5
538,85443,65,0
538,68469,198,5
538,68470,198,7
538,68471,313,5
538,68472,313,4
538,69577,400,1
538,69578,335,1
538,69579,335,1
538,59289,337,0
538,59888,37,60
538,12495,22,30
538,11923,34,0
538,12546,54,0
538,40187,17,0
538,11517,51,2
538,13018,94,7
538,31574,1605,0
538,32347,2094,0
538,31575,1263,0
538,51606,144,0
538,11722,309,13
538,11485,165,0
538,12616,63,3
538,10898,348,61
538,33128,155,9
538,33127,155,0
538,34105,50,125
538,33530,444,0
538,33354,11,0
538,68551,267,30
538,64778,8,0
538,59290,9,1
538,59536,8,10
538,34104,19,374
538,11174,122,0
538,34226,360,1
538,33307,8,0
538,12498,35,70
538,59181,269,95
538,68948,11,0
538,67553,53,0
538,51608,269,9
538,11714,364,4
538,11527,199,0
538,11719,404,11
538,33664,342,0
538,33663,334,0
538,33661,320,221
538,51609,148,3
538,34387,288,28
538,11723,432,0
538,11686,271,0
538,11189,92,1
538,10755,164,0
538,11718,232,5
538,10756,193,20
538,11715,382,10
538,11357,213,30
538,66436,28,5
538,63374,93,3
538,60307,56,5
538,33071,10,76
538,21040,4,780
538,21897,43,5
538,21959,16,326
538,22279,23,0
538,10897,91,0
538,65158,23,3
538,32554,87,21
538,32582,74,181
538,34307,689,0
538,32965,90,78
538,57313,20,85
538,58791,26,116
538,34122,34,16
538,34227,436,2
538,58020,42,20
538,12667,28,17
538,13015,435,90
538,22153,60,31
538,34251,278,0
538,12377,30,91
538,20090,28,12
538,33667,19,0
538,11060,61,81
538,10806,84,54
538,20591,26,504
538,20857,55,0
538,22275,13,130
538,30506,37,4
538,33149,26,53
538,35101,20,0
538,10477,81,0
538,10476,331,7
538,12068,485,0
538,22152,39,0
538,32552,62,134
538,21120,110,50
538,32371,211,0
538,32974,475,11
538,45632,11,616
538,13168,23,0
538,59959,50,100
538,59960,33,30
538,60379,23,0
538,13138,21,6
538,34756,134,200
538,21438,68,0
538,65604,73,10
538,66352,102,2
538,40383,26,0
538,21861,253,18
538,22274,95,110
538,30451,51,0
538,30721,26,13
538,40249,59,0
538,40429,40,1
538,12658,27,100
538,51124,248,0
538,51128,28,9
538,33403,95,0
538,56718,45,32
538,58005,26,4
538,58371,23,12
538,59084,52,30
538,35041,65,0
538,32816,43,23
538,21819,39,20
538,35475,111,0
538,34773,217,8
538,40844,71,0
538,22246,39,39
538,31439,48,0
538,33540,53,20
538,22245,25,23
538,12275,16,5
538,21820,53,0
538,22226,70,17
538,30777,88,0
538,30720,23,0
538,69197,15,93
538,33755,119,0
538,12672,23,0
538,12673,32,100
538,32683,97,2
538,33500,58,0
