StoreID,SKU,RSP,Stock_On_Hand
769,12502,22.75,60
769,44924,42,0
769,33221,160.75,49
769,55321,127.5,0
769,12896,1333.75,0
769,12079,1194,0
769,68942,865,0
769,13009,1449.65,0
769,40185,103.75,5
769,12926,1663.25,0
769,12925,33.25,0
769,12924,22,0
769,12494,79,0
769,11208,32.25,99
769,11209,53.25,0
769,40941,24.75,37
769,40942,46.75,30
769,12584,14.75,6
769,61005,148.5,3
769,68513,132.75,6
769,61399,138,5
769,61400,190,6
769,69432,1605,3
769,54172,99,15
769,54176,99,19
769,58684,190.75,18
769,73199,175,3
769,73200,145,0
769,73201,135,1
769,60305,25.25,0
769,60306,36.25,7
769,69595,456.5,0
769,69596,332.5,0
769,71719,49.5,5
769,84307,47.75,4
769,85442,65.5,0
769,85443,65.5,0
769,68469,198.5,0
769,68470,198.5,0
769,68471,313,5
769,68472,313,6
769,59289,337.25,3
769,59888,37.5,35
769,12495,22,0
769,11923,34.25,100
769,12546,54,81
769,40187,17.25,0
769,11517,51.25,115
769,13018,94.75,22
769,31574,1605.5,0
769,32347,2094,0
769,31575,1263,0
769,51606,144.75,0
769,12616,63,0
769,10898,348.75,4
769,33128,155,6
769,33127,155,9
769,34105,1500,2
769,33530,444,17
769,33354,220,0
769,68551,267.5,0
769,64778,160,4
769,59290,277.5,2
769,59536,165,0
769,34104,570,3
769,11174,122,0
769,34226,360,6
769,33307,175,0
769,59181,269,2
769,68948,230,1
769,67553,53.5,5
769,51608,269.25,1
769,11714,364.75,9
769,11527,199,5
769,11719,404,5
769,51609,148.75,1
769,34387,288,4
769,11723,432.75,9
769,11686,271,5
769,11189,92.75,6
769,10755,164,1
769,11718,232.75,2
769,10756,193,4
769,11715,382,5
769,11357,213,4
769,66436,28,0
769,60307,56.5,5
769,33071,200,3
769,21040,4.75,1565
769,21897,43.5,37
769,21959,16,187
769,22279,23.5,390
769,10897,91.5,66
769,65158,23.25,3
769,32554,87.75,69
769,34307,689.5,1
769,32965,90.5,0
769,57313,20,0
769,58791,26.25,96
769,34122,34.75,3
769,34227,436.25,0
769,12667,28.5,186
769,22153,60,42
769,12377,30.75,0
769,11060,61.75,0
769,10806,84,18
769,35101,20.25,100
769,10476,331.75,0
769,12068,485.5,1
769,22152,39.25,66
769,32552,62.75,29
769,45632,11.25,0
769,13168,23.25,0
769,59959,50,30
769,21438,68.5,90
769,65604,73.25,74
769,66352,102.75,110
769,40383,26.75,47
769,22274,95,171
769,30451,51,40
769,30721,26.75,0
769,40249,59,0
769,40429,40.25,162
769,12658,27,126
769,51124,248,9
769,33403,95,48
769,56718,45,55
769,58005,26.5,0
769,58371,23,37
769,59084,52.5,30
769,35041,65,109
769,21819,39.25,0
769,34773,217,9
769,40844,71.25,152
769,22246,39.75,60
769,31439,48.25,15
769,22245,25,99
769,12275,16,10
769,21820,53,82
769,22226,70,31
769,30777,88.75,0
769,30720,23,0
769,69197,15.5,0
769,33500,58.5,0
769,59462,59.4,87
769,12897,21.5,0
769,13064,34.75,0
769,13065,83.75,0
769,40430,27.5,0
769,12448,74.5,0
769,35626,42.75,0
769,31658,76.5,0
769,12656,28,0
769,11759,690,0
769,22217,125,0
769,31407,822,2
769,57905,498.5,0
769,12009,19,0
769,34579,28.75,0
769,57083,23.25,0
769,21932,14,41
769,30574,345.5,0
769,35072,88,60
769,11929,12,50
769,13012,216,0
769,52317,7.6,200
769,57780,265.2,25
769,12971,350,0
769,12976,612.25,0
769,21852,377,15
769,21856,65,30
769,32433,1498,1
769,40034,631,6
769,55422,185,0
769,40036,571,1
769,33538,9.6,60
769,34058,1150,0
769,58328,45,0
769,58340,30,0
769,68329,29,83
769,55431,185,0
769,63321,112,0
769,67729,43,0
769,34661,23.25,0
769,66238,351,0
769,12910,1153,0
769,34063,477,5
769,22672,679,0
769,31024,140,0
769,11769,27,100
769,40302,311.3,1
769,31653,222,32
769,21274,1190,0
769,33427,2014,1
769,34956,761,0
769,20702,29.5,27
769,21440,136.5,0
769,22735,328,0
769,60120,469,1
769,40003,517.5,0
769,60674,926.75,0
769,59886,12.3,0
769,10498,108.5,0
769,70974,79.1,0
769,35405,8320,0
769,22167,45,0
769,40585,18,0
769,12830,22.5,60
769,34788,41,0
769,22909,36,100
769,32497,818.25,0
769,21033,7.5,230
769,55042,11,88
769,34476,13.25,0
769,21660,297,5
769,21390,51.25,29
769,64473,48.5,40
769,21657,157.5,7
769,21784,93.25,6
769,21782,173.75,3
769,21783,157,9
769,21802,84.5,5
769,20828,210,0
769,21061,5.5,80
769,21629,37,757
769,11872,1210,1
769,21371,1416,0
769,57600,38,91
769,12640,57.75,54
769,34547,706.6,6
769,35510,80.6,32
769,20661,125,0
769,12315,856,0
769,12314,517,0
769,11378,259,12
769,32676,137,8
769,21780,108.5,12
769,22210,90.25,0
769,32677,817.75,0
769,35212,1009,2
769,13272,381,0
769,22737,1046,0
769,57051,874,0
769,21851,52.75,136
769,30559,396,3
769,21662,426,0
769,20456,50.25,74
769,21921,159.5,0
769,21827,319.75,9
769,22139,20.5,98
769,21787,313.25,2
769,21785,778.75,7
769,21786,1125.75,5
769,20935,296,5
769,20934,706,8
769,33536,534,5
769,33798,69.75,104
769,21953,76.25,89
769,22255,90,59
769,12639,112.5,6
769,30707,53,0
769,21597,412,0
769,21613,1033,7
769,21648,1111,0
769,11957,44.25,58
769,12113,16.75,0
769,21551,999,6
769,21621,670,3
769,33400,49.75,10
769,33535,456.75,0
769,51397,16,0
769,21020,103.75,1
769,21612,630.25,0
769,13284,23,0
769,21649,613.75,2
769,21045,14.5,0
769,31772,574.5,0
769,33471,122.25,30
769,40595,709,1
769,40594,394.75,1
769,31996,9.95,217
769,31995,7.5,134
769,31997,18.25,392
769,33417,57.5,40
769,11912,26.75,145
769,12597,6,0
769,12599,18,0
769,12936,12,0
769,22942,12,0
769,30589,7.75,137
769,33659,28,107
769,61024,9.9,0
769,56239,42.75,77
769,21104,17,219
769,22084,41,344
769,32439,48,2
769,32946,86.25,49
769,33416,47.25,40
769,33053,73.75,53
769,59184,5.4,54
769,68454,36,60
769,35571,252.5,4
769,12706,65,72
769,58787,38.25,200
769,12705,42.25,93
769,21450,39.75,120
769,30494,5.85,0
769,12443,45.25,131
769,58391,26.25,100
769,20664,22.25,30
769,31270,191,0
769,32438,25.75,0
769,61221,819.75,1
769,22514,52.9,0
769,12846,286.5,0
769,20317,12.25,0
769,33921,1936.25,2
769,34415,33.75,0
769,12939,17.75,50
769,13240,275.5,0
769,12940,22.75,50
769,22763,42.75,47
769,21697,52,443
769,12807,98.5,26
769,21911,184,0
769,11705,37.3,0
769,21608,55.75,190
769,22594,53.75,0
769,13267,16.75,155
769,22088,196.5,28
769,69158,84.5,0
769,12842,73.25,0
769,12608,89,30
769,22022,17.5,55
769,22343,91.75,60
769,20455,29.5,49
769,11808,65.2,70
769,22021,58.25,179
769,11317,1025,1
769,13067,53.6,100
769,21687,49.15,40
769,22344,147,60
769,13068,103.6,100
769,59500,30.4,100
769,22593,55.75,61
769,34999,76,33
769,13279,22.25,0
769,21877,92.5,30
769,22158,43.75,89
769,12571,24.5,276
769,13000,31.5,0
769,34410,24.25,246
769,12966,15.75,2
769,21442,34.75,287
769,20830,226,79
769,55902,79.25,18
769,57116,195,4
769,57398,520,4
769,30253,1059,1
769,30257,53,13
769,22254,54,0
769,32041,206.55,12
769,30655,6.5,195
769,30654,12,138
769,57117,240,0
769,21387,295.5,20
769,60718,71.75,0
769,22941,7.5,0
769,32230,40.25,227
769,34523,22.25,150
769,22284,29.75,413
769,56238,38.75,63
769,21926,31.6,389
769,59821,25,218
769,22729,50,0
769,22815,14.75,53
769,44776,30.25,441
769,59907,28.6,542
769,22943,29.75,0
769,12383,24.5,1566
769,12472,38.6,215
769,12218,20.75,0
769,56383,17,100
769,22173,13,1584
769,22174,17,908
769,22453,32.1,302
769,56335,12.9,1228
769,21696,36.3,380
769,21855,38.05,89
769,22213,35,582
769,22214,24.5,390
769,22552,21.5,120
769,68156,32,0
769,12471,27.05,58
769,12473,38.6,107
769,32070,26.75,56
769,32546,26.75,60
769,34635,150,100
769,34637,150,147
769,32993,60,119
769,56736,17.5,412
769,12367,34,0
769,21449,36.5,110
769,58751,26,60
769,58801,24.5,287
769,59000,17,330
769,69126,11.65,105
769,69130,10.75,0
769,34690,31.5,52
769,12806,26.5,32
769,12937,32.75,0
769,12783,43,40
769,22132,22.5,255
769,22159,37,58
769,22454,25.25,1164
769,31493,22.5,100
769,58107,20.25,56
769,22231,16.25,90
769,59961,30.25,28
769,22316,30,0
769,22317,34.25,0
769,22411,25.25,103
769,22417,39,130
769,33330,30.25,0
769,34126,37.25,120
769,11730,264.25,0
769,34384,25,295
769,34386,29.5,0
769,12573,19.5,30
769,58390,17.75,152
769,12304,43.5,168
769,70395,12.5,0
769,13100,20,52
769,22674,18,60
769,22675,25,60
769,70396,16.5,0
769,22726,17.25,40
769,22727,28.25,55
769,13280,47.25,0
769,12651,44.5,10
769,35846,25,10
769,13323,14.5,21
769,13324,22.5,74
769,21364,6.75,0
769,21843,28.95,66
769,34493,35,15
769,11892,51,0
769,13264,22.75,90
769,12866,26,60
769,22157,33,306
769,21842,19.7,37
769,21917,60.25,70
769,33191,21,0
769,20671,4.65,30
769,32512,30.8,0
769,22032,13,540
769,22270,24.5,50
769,34269,61,0
769,34416,39.75,3
769,67527,4.25,100
769,57119,195,0
769,58792,54.75,119
769,11432,46.75,0
769,20153,59,6
769,20670,7.6,27
769,21260,18.8,84
769,21961,11,0
769,20748,1486,0
769,22209,38.65,50
769,32713,16.5,44
769,32714,11.35,4
769,22227,20.75,464
769,58336,12.1,0
769,59292,174.15,3
769,33900,30.75,0
769,57308,30.4,100
769,61296,34,29
769,61297,38.5,0
769,66690,22,154
769,67185,16,56
769,69466,9,102
769,20821,20.85,0
769,20836,18.75,20
769,21363,5.75,0
769,34103,20.5,476
769,35073,69.75,0
769,35701,41,63
769,35702,41,122
769,22212,30.6,293
769,33629,36.25,113
769,33631,47.9,74
769,13069,16,19
769,13070,11,140
769,31392,6,5
769,34639,44.25,0
769,34636,150,234
769,67334,28.5,100
769,58230,18,602
769,21965,35.1,58
769,32426,19.25,0
769,58752,43.1,0
769,33874,25.85,30
769,69129,8,105
769,58502,27,37
769,59081,26.25,60
769,13031,27.75,180
769,12829,31.5,30
769,33341,45.25,29
769,12782,26.75,60
769,58664,12,80
769,12886,32.5,7
769,12887,51.5,27
769,12737,14.35,0
769,32997,94.75,0
769,59511,18,45
769,35218,27.25,20
769,22232,13.25,226
769,22315,24,0
769,60639,15.25,100
769,22862,31.25,0
769,13238,14,60
769,60329,25,100
769,34383,18,46
769,67585,24.5,169
769,21017,3.5,794
769,63433,6.75,297
769,55708,35.25,70
769,55706,19.75,90
769,21353,10.2,1362
769,70393,9.25,0
769,22180,31.25,40
769,55707,26.5,50
769,34409,62.5,261
769,33174,56.25,50
769,33179,53,129
769,33356,32.5,242
769,33422,32,38
769,33426,19.75,0
769,13283,41.25,0
769,58346,9,721
769,58947,11,69
769,33554,29,222
769,20863,16.35,0
769,33886,28.25,137
769,34039,19.75,203
769,34396,44,535
769,34653,68.5,48
769,12661,30.75,100
769,12935,80,59
769,12968,23.5,53
769,21118,34.15,20
769,11948,14,60
769,12871,39,55
769,21279,15.4,91
769,21342,21,5
769,22182,31.25,0
769,32996,58.25,120
769,32481,34.75,0
769,12803,53.75,188
769,12804,55.25,105
769,12914,12.25,0
769,12185,23.25,0
769,12533,55.75,90
769,22001,11.75,56
769,13026,38.75,17
769,20151,45.25,0
769,22016,12.75,0
769,22103,31.8,10
769,57948,27.5,56
769,22062,13.65,80
769,32596,21,60
769,33062,34.25,60
769,33482,24,0
769,56906,17.5,448
769,67586,24.75,233
769,34616,53.6,55
769,34617,87.5,60
769,33579,31.25,187
769,56211,14,0
769,13196,5.75,49
769,60696,22,490
769,12602,469,3
769,32605,495,2
769,33627,753,4
769,34652,709.5,2
769,34896,475,3
769,34897,610.5,0
769,33630,46.15,87
769,42352,38.5,0
769,51029,125,0
769,53964,650,3
769,54470,56.5,3
769,55379,150,0
769,34825,20.5,145
769,57230,227,0
769,33873,29,0
769,58951,125,2
