StoreID,SKU,RSP,Stock_On_Hand
119,12502,22.75,30
119,44924,42,0
119,33221,160.75,84
119,52677,69.75,0
119,55321,127.5,0
119,12896,1333.75,0
119,12079,1194,0
119,68942,865,0
119,13009,1449.65,0
119,13010,1555.5,0
119,40185,103.75,0
119,13131,269.5,0
119,12926,1663.25,0
119,12923,35,0
119,12925,33.25,0
119,12924,22,0
119,12494,79,0
119,11208,32.25,98
119,11209,53.25,0
119,40941,24.75,0
119,40942,46.75,56
119,12123,53.25,0
119,34729,75,0
119,12584,14.75,0
119,12810,16.75,0
119,35673,3850,0
119,61005,148.5,0
119,68513,132.75,8
119,60581,257.25,0
119,60582,393.25,0
119,61399,138,8
119,61400,190,3
119,69432,1605,0
119,54172,99,6
119,54176,99,7
119,58684,190.75,6
119,73199,175,0
119,73200,145,0
119,73201,135,0
119,60305,25.25,0
119,60306,36.25,11
119,69575,445,0
119,69595,456.5,0
119,69596,332.5,0
119,71719,49.5,27
119,84307,47.75,0
119,85442,65.5,0
119,85443,65.5,0
119,68469,198.5,0
119,68470,198.5,0
119,68471,313,0
119,68472,313,0
119,68117,189,0
119,59289,337.25,1
119,59888,37.5,0
119,12495,22,0
119,11923,34.25,100
119,12546,54,105
119,40187,17.25,0
119,11517,51.25,307
119,13018,94.75,40
119,31574,1605.5,0
119,32347,2094,0
119,31575,1263,0
119,51606,144.75,4
119,11722,309.75,1
119,11485,165.75,2
119,12616,63,0
119,10898,348.75,9
119,33128,155,5
119,33127,155,6
119,34105,1500,11
119,33530,444,3
119,33354,220,2
119,68551,267.5,0
119,64778,160,6
119,59290,277.5,1
119,59536,165,0
119,34104,570,15
119,11174,122,4
119,34226,360,2
119,33307,175,1
119,12498,35.25,0
119,59181,269,0
119,68948,230,1
119,67553,53.5,11
119,51608,269.25,2
119,11714,364.75,18
119,11527,199,10
119,11719,404,8
119,33664,342.25,0
119,33663,334,0
119,33661,320.5,0
119,51609,148.75,10
119,34387,288,19
119,11723,432.75,1
119,11686,271,5
119,11189,92.75,8
119,10755,164,2
119,11718,232.75,16
119,10756,193,6
119,11715,382,5
119,11357,213,5
119,66436,28,0
119,63374,93.5,0
119,60307,56.5,30
119,33071,200,10
119,21040,4.75,5098
119,21897,43.5,13
119,21959,16,150
119,22279,23.5,75
119,10897,91.5,0
119,65158,23.25,58
119,32554,87.75,94
119,32582,74,0
119,34307,689.5,1
119,32965,90.5,0
119,57313,20,0
119,58791,26.25,193
119,34122,34.75,85
119,34227,436.25,0
119,58020,42.75,0
119,12667,28.5,14
119,13015,435,0
119,22153,60,30
119,34251,278.25,0
119,12377,30.75,0
119,20090,28.75,0
119,33667,19.5,0
119,11060,61.75,75
119,10806,84,0
119,20591,26.5,0
119,20857,55.5,0
119,22275,13,0
119,30506,37.75,0
119,33149,26.75,0
119,35101,20.25,97
119,10477,81,0
119,10476,331.75,0
119,12068,485.5,4
119,22152,39.25,29
119,32552,62.75,35
119,21120,110.25,0
119,32371,211.75,0
119,32974,475,0
119,45632,11.25,37
119,13168,23.25,0
119,59959,50,60
119,59960,33,0
119,13138,21.75,0
119,34756,134.75,0
119,21438,68.5,172
119,65604,73.25,96
119,66352,102.75,48
119,40383,26.75,106
119,21861,253,0
119,22274,95,264
119,30451,51,0
119,30721,26.75,41
119,40249,59,0
119,40429,40.25,85
119,12658,27,100
119,51124,248,12
119,51128,28,0
119,33403,95,125
119,56718,45,115
119,58005,26.5,52
119,58371,23,87
119,59084,52.5,51
119,35041,65,20
119,32816,43.5,0
119,21819,39.25,14
119,35475,111,0
119,34773,217,3
119,40844,71.25,94
119,22246,39.75,60
119,31439,48.25,0
119,33540,53,0
119,22245,25,89
119,12275,16,0
119,21820,53,33
119,22226,70,59
119,30777,88.75,0
119,30720,23,65
119,69197,15.5,0
119,33755,119.25,0
119,12672,23,0
119,12673,32,0
119,32683,97.65,0
119,33500,58.5,0
119,59462,59.4,15
119,31118,39,0
119,12897,21.5,0
119,12996,36,0
119,12997,22.5,0
119,32252,34,0
119,33911,211.5,0
119,33912,211.5,0
119,34722,13.25,0
119,69161,34.5,0
119,13064,34.75,0
119,13065,83.75,0
119,40430,27.5,2
119,34052,28,0
119,12448,74.5,0
119,12449,33.5,0
119,11522,75.5,0
119,56775,18,0
119,20931,32.25,0
119,35626,42.75,0
119,32979,37.75,0
119,33756,133.75,0
119,33914,211.5,0
119,33915,211.5,0
119,11521,243.5,0
119,31658,76.5,0
119,34670,89,0
119,12656,28,0
119,12802,250,0
119,11759,690,0
119,11758,105,0
119,31411,371.75,0
119,31413,128.75,0
119,31414,1385.75,0
119,32170,107,0
119,22217,125,0
119,31407,822,4
119,33636,90,0
119,57905,498.5,0
119,33135,14000.7,0
119,34301,284.75,0
119,58341,10.95,0
119,61163,18.25,0
119,68108,355.5,0
119,69008,1208,0
119,31005,31.7,0
119,12009,19,0
119,12053,18,0
119,33751,86,0
119,34579,28.75,0
119,57083,23.25,0
119,57191,18.75,0
119,10385,87.75,0
119,10838,81.2,0
