StoreID,SKU,RSP,Stock_On_Hand
678,12502,22.75,60
678,33221,160.75,88
678,52677,69.75,22
678,55321,127.5,0
678,12896,1333.75,1
678,12079,1194,1
678,68942,865,5
678,13009,1449.65,3
678,13010,1555.5,0
678,40185,103.75,0
678,13131,269.5,0
678,12926,1663.25,0
678,12925,33.25,0
678,12924,22,0
678,12494,79,74
678,11208,32.25,56
678,11209,53.25,8
678,40941,24.75,0
678,40942,46.75,65
678,12123,53.25,0
678,12584,14.75,0
678,12810,16.75,0
678,61005,148.5,10
678,68513,132.75,5
678,61399,138,3
678,61400,190,10
678,69432,1605,0
678,54172,99,11
678,54176,99,16
678,58684,190.75,11
678,73199,175,0
678,73200,145,0
678,73201,135,0
678,60305,25.25,0
678,60306,36.25,1
678,69595,456.5,0
678,69596,332.5,1
678,71719,49.5,0
678,84307,47.75,12
678,85442,65.5,2
678,85443,65.5,0
678,68469,198.5,1
678,68470,198.5,5
678,68472,313,0
678,59289,337.25,0
678,59888,37.5,9
678,12495,22,0
678,11923,34.25,127
678,12546,54,50
678,40187,17.25,0
678,11517,51.25,260
678,13018,94.75,39
678,31574,1605.5,0
678,51606,144.75,4
678,11722,309.75,0
678,11485,165.75,0
678,12616,63,0
678,10898,348.75,8
678,33128,155,4
678,33127,155,3
678,34105,1500,15
678,33530,444,21
678,33354,220,4
678,68551,267.5,5
678,64778,160,0
678,59290,277.5,0
678,59536,165,5
678,34104,570,2
678,11174,122,0
678,34226,360,2
678,33307,175,1
678,12498,35.25,0
678,59181,269,0
678,68948,230,1
678,67553,53.5,4
678,51608,269.25,2
678,11714,364.75,16
678,11527,199,9
678,11719,404,18
678,51609,148.75,7
678,34387,288,11
678,11723,432.75,5
678,11686,271,11
678,11189,92.75,4
678,10755,164,8
678,11718,232.75,16
678,10756,193,5
678,11715,382,5
678,11357,213,7
678,66436,28,0
678,63374,93.5,0
678,60307,56.5,0
678,33071,200,0
678,21040,4.75,1808
678,21897,43.5,24
678,21959,16,73
678,22279,23.5,194
678,10897,91.5,0
678,65158,23.25,30
678,32554,87.75,173
678,34307,689.5,5
678,32965,90.5,0
678,58791,26.25,107
678,34122,34.75,90
678,34227,436.25,11
678,12667,28.5,55
678,22153,60,28
678,12377,30.75,0
678,11060,61.75,0
678,10806,84,0
678,20591,26.5,3
678,20857,55.5,47
678,30506,37.75,0
678,33149,26.75,0
678,35101,20.25,100
678,10477,81,0
678,12068,485.5,2
678,22152,39.25,104
678,32552,62.75,33
678,45632,11.25,0
678,13168,23.25,0
678,59959,50,26
678,59960,33,0
678,21438,68.5,176
678,65604,73.25,192
678,66352,102.75,49
678,40383,26.75,35
678,21861,253,17
678,22274,95,225
678,30451,51,0
678,30721,26.75,159
678,40249,59,62
678,40429,40.25,73
678,12658,27,15
678,51124,248,9
678,33403,95,129
678,56718,45,118
678,58005,26.5,0
678,58371,23,78
678,59084,52.5,50
678,35041,65,134
678,32816,43.5,0
678,21819,39.25,0
678,35475,111,0
678,34773,217,4
678,40844,71.25,31
678,22246,39.75,34
678,31439,48.25,34
678,22245,25,60
678,12275,16,0
678,21820,53,32
678,22226,70,50
678,30777,88.75,0
678,30720,23,1
678,69197,15.5,60
678,12672,23,100
678,12673,32,0
678,32683,97.65,0
678,59462,59.4,122
678,35103,39.75,0
678,13064,34.75,0
678,13065,83.75,0
678,40430,27.5,0
678,34052,28,0
678,12448,74.5,0
678,12449,33.5,0
678,35626,42.75,115
678,31658,76.5,0
678,12656,28,100
678,11759,690,0
678,31413,128.75,0
678,31407,822,0
678,57905,498.5,0
678,61163,18.25,0
678,12009,19,0
678,34579,28.75,0
678,57083,23.25,0
678,57191,18.75,0
678,12948,1207.5,1
678,21932,14,0
678,30574,345.5,0
678,65605,265.85,0
678,11929,12,0
678,12089,20,0
678,30954,4.75,0
678,52317,7.6,109
678,57780,265.2,4
678,12971,350,0
678,12976,612.25,0
678,21852,377,4
678,21856,65,0
678,40034,631,3
678,55422,185,0
678,33916,73.75,0
678,40036,571,9
678,33538,9.6,72
678,34058,1150,0
678,58328,45,0
678,58340,30,0
678,68329,29,37
678,55431,185,0
678,50957,15.75,0
678,32289,24.5,0
678,55426,220,0
678,67729,43,0
678,66238,351,0
678,34585,779,0
678,12910,1153,3
678,31560,1383,2
678,31852,48,0
678,13166,32,0
678,69938,288,0
678,11769,27,100
678,40302,311.3,1
678,31653,222,28
678,57904,986.75,0
678,33427,2014,0
678,32328,1570.55,6
678,20702,29.5,147
678,22735,328,0
678,60120,469,1
678,40003,517.5,0
678,60583,651,0
678,10498,108.5,1
678,70974,79.1,0
678,35405,8320,0
678,22167,45,0
678,40585,18,0
678,12830,22.5,43
678,34788,41,0
678,22909,36,68
678,32497,818.25,4
678,34994,73.75,0
678,21033,7.5,131
678,55042,11,91
678,21660,297,14
678,21390,51.25,64
678,64473,48.5,40
678,21657,157.5,3
678,21784,93.25,10
678,21782,173.75,3
678,21783,157,7
678,21802,84.5,8
678,20828,210,0
678,21061,5.5,0
678,21629,37,309
678,11872,1210,5
678,21371,1416,0
678,57600,38,132
678,12640,57.75,135
678,64472,45.5,0
678,34547,706.6,8
678,35510,80.6,15
678,68343,332.15,0
678,34000,35,0
678,12398,275,0
678,20694,9,0
678,20661,125,0
678,12315,856,0
678,11378,259,6
678,32676,137,4
678,21424,73,0
678,21780,108.5,6
678,22210,90.25,10
678,35212,1009,3
678,13272,381,0
678,21851,52.75,128
678,30559,396,2
678,21662,426,0
678,20456,50.25,111
678,21921,159.5,11
678,21827,319.75,2
678,22139,20.5,85
678,21787,313.25,0
678,21785,778.75,3
678,21786,1125.75,1
678,20935,296,10
678,20934,706,9
678,33536,534,11
678,33798,69.75,105
678,66081,67.5,0
678,21953,76.25,167
678,22255,90,48
678,12639,112.5,118
678,30707,53,7
678,21597,412,0
678,21613,1033,1
678,11957,44.25,87
678,12113,16.75,0
678,60116,33,0
678,21551,999,10
678,21621,670,2
678,33400,49.75,51
678,33534,379.25,0
678,33535,456.75,0
678,21020,103.75,0
678,21612,630.25,0
678,13268,1050.75,0
678,21823,4256,0
678,66080,356.25,0
678,31772,574.5,0
678,33471,122.25,45
678,40595,709,0
678,40594,394.75,0
678,31996,9.95,183
678,31995,7.5,100
678,31997,18.25,278
678,33417,57.5,110
678,11912,26.75,233
678,12597,6,0
678,12599,18,0
678,12936,12,0
678,30589,7.75,273
678,33659,28,11
678,61024,9.9,101
678,60727,5.5,0
678,56239,42.75,56
678,21104,17,142
678,22084,41,522
678,32439,48,0
678,32946,86.25,48
678,33416,47.25,48
678,33053,73.75,35
678,58303,63,0
678,59184,5.4,88
678,68454,36,76
678,35571,252.5,0
678,12706,65,30
678,33598,37,0
678,58787,38.25,158
678,12705,42.25,58
678,21450,39.75,100
678,30494,5.85,0
678,12443,45.25,73
678,58391,26.25,100
678,31944,77,0
678,31270,191,0
678,61242,84.75,0
678,61221,819.75,0
678,22514,52.9,0
678,12846,286.5,0
678,20317,12.25,62
678,33921,1936.25,3
678,34415,33.75,0
678,58737,17,0
678,12939,17.75,50
678,13240,275.5,0
678,12940,22.75,50
678,22763,42.75,58
678,21697,52,257
678,58914,40.2,0
678,21911,184,1
678,11705,37.3,0
678,21608,55.75,155
678,31312,63,0
678,22594,53.75,0
678,13267,16.75,60
678,22088,196.5,53
678,69158,84.5,0
678,12842,73.25,0
678,12608,89,10
678,22022,17.5,52
678,22343,91.75,70
678,20455,29.5,0
678,11807,19,0
678,11808,65.2,100
678,22021,58.25,195
678,11317,1025,0
