StoreID,SKU,RSP,Stock_On_Hand
663,12502,22,16
663,44924,42,45
663,33221,160,25
663,52677,69,1
663,55321,127,0
663,13096,666,0
663,12896,1333,10
663,12079,1194,0
663,68942,865,0
663,40185,103,0
663,13131,269,0
663,12494,79,24
663,11208,32,6
663,11209,53,73
663,40941,24,166
663,40942,46,50
663,12123,53,0
663,12584,14,202
663,61005,24,4
663,68513,132,36
663,60581,257,0
663,60582,393,0
663,61399,138,12
663,61400,190,0
663,69432,26,0
663,54172,73,17
663,54176,73,20
663,58684,190,2
663,73199,17,0
663,73200,14,8
663,73201,13,0
663,60305,25,40
663,60306,36,0
663,69595,456,4
663,69596,332,0
663,71719,49,34
663,84307,47,0
663,85442,65,2
663,85443,65,0
663,68469,198,0
663,68470,198,4
663,68472,313,1
663,59289,337,0
663,12495,22,0
663,11923,34,47
663,12546,54,0
663,40187,17,0
663,11517,51,0
663,13018,94,9
663,31574,1605,0
663,51606,144,97
663,11722,309,113
663,11485,165,0
663,12616,63,0
663,10898,348,43
663,33128,155,12
663,33127,155,0
663,34105,50,54
663,33530,444,0
663,33354,11,28
663,68551,267,43
663,64778,8,0
663,59290,9,0
663,59536,8,0
663,34104,19,609
663,11174,122,4
663,34226,360,2
663,33307,8,0
663,12498,35,0
663,59181,269,14
663,68948,11,3
663,67553,53,68
663,51608,269,1
663,11714,364,4
663,11527,199,76
663,11719,404,9
663,33661,320,12
663,51609,148,5
663,34387,288,0
663,11723,432,0
663,11686,271,0
663,11189,92,7
663,10755,164,0
663,11718,232,3
663,10756,193,8
663,11715,382,10
663,11357,213,0
663,66436,28,0
663,60307,56,5
663,33071,10,36
663,21040,4,602
663,21897,43,50
663,21959,16,96
663,22279,23,30
663,10897,91,40
663,65158,23,0
663,32554,87,63
663,32582,74,136
663,34307,689,4
663,32965,90,0
663,58791,26,0
663,34122,34,15
663,34227,436,2
663,58020,42,0
663,12667,28,118
663,22153,60,149
663,12377,30,107
663,33667,19,0
663,11060,61,100
663,10806,84,264
663,30506,37,0
663,33149,26,58
663,35101,20,0
663,10477,81,0
663,12068,485,0
663,22152,39,29
663,32552,62,60
663,45632,11,161
663,59959,50,100
663,59960,33,30
663,21438,68,0
663,65604,73,2
663,66352,102,0
663,40383,26,0
663,21861,253,25
663,22274,95,20
663,30451,51,0
663,30721,26,0
663,40249,59,0
663,40429,40,13
663,12658,27,0
663,51124,248,0
663,33403,95,0
663,56718,45,0
663,58005,26,0
663,58371,23,7
663,59084,52,12
663,35041,65,0
663,32816,43,0
663,21819,39,1
663,35475,111,0
663,34773,217,110
663,40844,71,0
663,22246,39,27
663,31439,48,0
663,22245,25,5
663,12275,16,11
663,21820,53,0
663,22226,70,0
663,30777,88,0
663,30720,23,0
663,59462,59,0
663,13064,34,86
663,13065,83,0
663,40430,27,254
663,34052,28,16
663,12448,74,304
663,12449,33,0
663,31658,76,40
663,12656,28,0
663,11759,690,7
663,31407,822,0
663,57905,498,0
663,61163,18,25
663,12053,18,0
663,21932,14,0
663,65605,265,124
663,11929,12,3
663,12089,20,0
663,30954,4,36
663,12976,612,20
663,21852,377,94
663,21856,65,130
663,40034,631,0
663,55422,185,0
663,33916,73,5
663,40036,571,20
663,34058,1150,0
663,58328,45,19
663,68329,29,3
663,55431,185,0
663,63321,112,4
663,50957,15,0
663,55426,220,0
663,67729,43,0
663,66238,351,0
663,10032,213,0
663,69938,288,0
663,40302,311,0
663,31653,222,2
663,57904,986,53
663,20702,29,115
663,21440,136,34
663,22735,328,0
663,20259,11,286
663,60583,651,0
663,10469,276,0
663,10498,108,0
663,70974,79,0
663,35405,8320,40
663,30048,601,3
663,22167,45,0
663,40585,18,11
663,12830,22,0
663,34788,41,0
663,22909,36,0
663,59513,19,0
663,55427,185,0
663,12311,1431,0
663,32497,818,7
663,34994,73,0
663,21033,7,1024
663,55042,11,63
663,21660,297,0
663,56989,36,0
663,21390,51,12
663,64473,48,0
663,21657,157,14
663,21784,93,0
663,21782,173,3
663,21783,157,6
663,21802,84,7
663,20828,210,0
663,21061,5,559
663,21629,37,0
663,11872,1210,0
663,21371,1416,0
663,57600,38,0
663,12640,57,13
663,64472,45,3
663,34547,706,0
663,35510,80,0
663,68343,332,0
663,68332,366,0
663,20694,9,79
663,20661,125,0
663,12315,856,0
663,12314,517,0
663,32676,137,0
663,21424,73,0
663,22563,180,0
663,21780,108,6
663,22210,90,2
663,32677,817,8
663,35212,1009,12
663,11592,514,0
663,13272,381,0
663,21851,52,6
663,30559,396,0
663,21662,426,22
663,20456,50,0
663,21921,159,5
663,21827,319,0
663,22139,20,1
663,21787,313,6
663,21785,778,0
663,21786,1125,4
663,20935,296,9
663,20934,706,0
663,33536,534,4
663,33798,69,0
663,66081,67,0
663,21953,76,0
663,22255,90,205
663,21614,379,0
663,12639,112,0
663,30707,46,0
663,21597,412,3
663,21613,1033,0
663,21821,1120,46
663,11957,44,0
663,21551,999,0
663,21621,670,0
663,33400,49,3
663,33534,379,13
663,33535,456,0
663,59291,436,120
663,59299,65,5
663,21612,630,0
663,13284,23,0
663,13268,1050,30
663,30704,354,61
663,21823,4256,0
663,66080,356,72
663,31772,574,0
663,33471,122,0
663,35499,1909,0
663,32742,850,0
663,40595,709,0
663,40594,394,0
663,31996,9,25
