StoreID,SKU,RSP,Stock_On_Hand
370,12502,22.75,41
370,44924,42,0
370,33221,160.75,151
370,52677,69.75,0
370,55321,127.5,12
370,13096,666.75,4
370,12896,1333.75,0
370,12079,1194,0
370,68942,865,0
370,13009,1449.65,3
370,13010,1555.5,0
370,40185,103.75,0
370,13131,269.5,0
370,12926,1663.25,0
370,12923,35,0
370,12925,33.25,0
370,12924,22,0
370,12494,79,140
370,11208,32.25,0
370,11209,53.25,0
370,40941,24.75,63
370,40942,46.75,133
370,12123,53.25,28
370,34729,75,0
370,12584,14.75,0
370,12810,16.75,0
370,61005,148.5,6
370,68513,132.75,5
370,60581,257.25,0
370,60582,393.25,1
370,61399,138,12
370,61400,190,6
370,69432,1605,0
370,54172,99,19
370,54176,99,10
370,58684,190.75,17
370,73199,175,0
370,73200,145,3
370,73201,135,0
370,60305,25.25,12
370,60306,36.25,9
370,69595,456.5,6
370,69596,332.5,7
370,71719,49.5,36
370,84307,47.75,12
370,85442,65.5,0
370,85443,65.5,0
370,68469,198.5,0
370,68470,198.5,0
370,68471,313,4
370,68472,313,0
370,59289,337.25,3
370,59888,37.5,20
370,12495,22,70
370,11923,34.25,262
370,12546,54,222
370,40187,17.25,0
370,11517,51.25,100
370,13018,94.75,77
370,31574,1605.5,0
370,32347,2094,0
370,31575,1263,0
370,51606,144.75,8
370,11722,309.75,1
370,11485,165.75,5
370,12616,63,0
370,10898,348.75,22
370,33128,155,5
370,33127,155,8
370,34105,1500,8
370,33530,444,12
370,33354,220,0
370,68551,267.5,1
370,64778,160,5
370,59290,277.5,0
370,59536,165,0
370,34104,570,4
370,11174,122,2
370,34226,360,9
370,33307,175,2
370,12498,35.25,0
370,59181,269,3
370,68948,230,0
370,67553,53.5,5
370,51608,269.25,8
370,11714,364.75,14
370,11527,199,6
370,11719,404,5
370,33664,342.25,0
370,33663,334,0
370,33661,320.5,0
370,51609,148.75,5
370,34387,288,10
370,11723,432.75,2
370,11686,271,8
370,11189,92.75,6
370,10755,164,8
370,11718,232.75,8
370,10756,193,7
370,11715,382,4
370,11357,213,8
370,66436,28,5
370,63374,93.5,0
370,60307,56.5,10
370,33071,200,0
370,21040,4.75,953
370,21897,43.5,30
370,21959,16,297
370,22279,23.5,214
370,10897,91.5,11
370,65158,23.25,24
370,32554,87.75,23
370,32582,74,0
370,34307,689.5,0
370,32965,90.5,0
370,57313,20,3
370,58791,26.25,126
370,34122,34.75,85
370,34227,436.25,0
370,58020,42.75,75
370,12667,28.5,73
370,13015,435,0
370,22153,60,40
370,34251,278.25,0
370,12377,30.75,0
370,20090,28.75,0
370,33667,19.5,0
370,11060,61.75,0
370,10806,84,0
370,20591,26.5,90
370,20857,55.5,0
370,22275,13,0
370,30506,37.75,79
370,33149,26.75,0
370,35101,20.25,100
370,10477,81,0
370,10476,331.75,0
370,12068,485.5,12
370,22152,39.25,88
370,32552,62.75,25
370,21120,110.25,0
370,32371,211.75,0
370,32974,475,0
370,45632,11.25,144
370,13168,23.25,0
370,59959,50,44
370,59960,33,0
370,60379,23,0
370,13138,21.75,0
370,34756,134.75,0
370,21438,68.5,204
370,65604,73.25,72
370,66352,102.75,38
370,40383,26.75,143
370,21861,253,2
370,22274,95,272
370,30451,51,40
370,30721,26.75,0
370,40249,59,33
370,40429,40.25,377
370,12658,27,165
370,51124,248,15
370,51128,28,0
370,33403,95,315
370,56718,45,142
370,58005,26.5,0
370,58371,23,31
370,59084,52.5,50
370,35041,65,58
370,32816,43.5,0
370,21819,39.25,0
370,35475,111,0
370,34773,217,4
370,40844,71.25,255
370,22246,39.75,75
370,31439,48.25,3
370,33540,53,0
370,22245,25,285
370,12275,16,0
370,21820,53,56
370,22226,70,58
370,30777,88.75,0
370,30720,23,102
370,69197,15.5,16
370,33755,119.25,0
370,12672,23,0
370,12673,32,0
370,32683,97.65,0
370,33500,58.5,0
370,59462,59.4,141
370,31118,39,0
370,12897,21.5,495
370,12996,36,0
370,12997,22.5,0
370,32252,34,0
370,33911,211.5,0
370,33912,211.5,0
370,34722,13.25,0
370,35103,39.75,0
370,69161,34.5,0
370,13064,34.75,0
370,13065,83.75,0
370,40430,27.5,0
370,34052,28,0
370,12448,74.5,0
370,12449,33.5,0
370,11522,75.5,0
370,56775,18,0
370,20931,32.25,0
370,35626,42.75,0
370,32979,37.75,0
370,33756,133.75,0
370,33914,211.5,0
370,33915,211.5,0
370,11521,243.5,0
370,31658,76.5,0
370,34670,89,0
370,12656,28,100
370,12802,250,0
370,11759,690,2
370,11758,105,25
370,31411,371.75,2
370,31413,128.75,0
370,31414,1385.75,0
370,32170,107,0
370,22217,125,0
370,31407,822,9
370,33636,90,0
370,57905,498.5,0
370,33135,14000.7,0
370,34301,284.75,0
370,58341,10.95,0
370,61163,18.25,10
370,68108,355.5,0
370,69008,1208,0
370,31005,31.7,0
370,12009,19,0
370,12053,18,0
370,33751,86,0
370,34579,28.75,0
370,57083,23.25,0
370,57191,18.75,0
370,10385,87.75,0
370,10838,81.2,0
370,12452,352,0
370,12478,48.25,0
370,12943,154.5,0
370,12948,1207.5,1
370,21932,14,0
370,30574,345.5,0
370,32345,955,0
370,35072,88,20
370,65605,265.85,0
370,11929,12,20
370,12089,20,10
370,13012,216,0
370,30954,4.75,0
370,52317,7.6,122
370,57780,265.2,19
370,12971,350,14
370,12976,612.25,0
370,59003,115,0
370,21852,377,59
370,21856,65,35
370,32433,1498,0
370,35697,665,0
370,40034,631,14
370,55422,185,0
370,33916,73.75,95
370,40036,571,10
370,11325,95.25,1
370,32434,120.1,0
370,33538,9.6,88
370,34058,1150,1
370,44973,290,0
370,58328,45,0
370,58340,30,0
370,68329,29,56
370,10846,429,0
370,34893,593.25,3
370,35696,885,0
370,55431,185,0
370,63321,112,0
370,65277,316,0
370,50957,15.75,0
370,61198,3.05,0
370,34887,240,0
370,40952,502,0
370,32289,24.5,0
370,55426,220,0
370,56781,25,0
370,68615,238,0
370,68616,257,0
370,34602,103.5,0
370,67729,43,0
370,12904,148,0
370,10404,7,0
370,34661,23.25,30
370,66238,351,0
370,12980,1514,0
370,10032,213,0
370,20930,126.5,0
370,34585,779,0
370,33887,578,0
370,33888,578,0
370,12910,1153,0
370,31560,1383,0
370,34063,477,4
370,30570,1452,0
370,57399,874,0
370,30718,26,0
370,11749,660,0
370,11750,660,0
370,58697,517,0
370,31852,48,0
370,34668,45.5,0
370,34669,89,0
370,58207,24,0
370,12419,424,0
370,13008,1554,0
370,13127,993,0
370,32649,1730,0
370,13166,32,0
370,69938,288,0
370,31024,140,0
370,32349,698.25,0
370,11769,27,100
370,40302,311.3,4
370,31653,222,14
370,57904,986.75,3
370,21274,1190,0
370,33427,2014,2
370,32328,1570.55,0
370,34956,761,0
370,22218,68,0
370,31412,259.5,0
370,20702,29.5,121
370,34797,257,0
370,21440,136.5,0
370,22735,328,0
370,59890,245,0
370,59891,231,0
370,60120,469,0
370,33473,326.75,0
370,41625,149.5,0
370,20259,11.75,37
370,33202,176.8,0
370,40003,517.5,0
370,21577,239.5,0
370,60583,651,0
370,33286,439,0
370,41536,70.75,30
370,10919,600.75,0
370,60674,926.75,0
370,11914,3995,0
370,32091,4200,0
370,59886,12.3,361
370,59901,30285.75,0
370,10469,276.25,0
370,10471,746,0
370,10498,108.5,26
370,70974,79.1,140
370,33450,230,0
370,35405,8320,0
370,12107,135.75,0
370,30048,601,0
370,22167,45,0
370,32390,19600,0
370,32744,654.5,0
370,40585,18,4
370,41593,342.9,0
370,34248,12166.5,0
370,34538,12105,0
370,41687,973.65,0
370,12830,22.5,60
370,34788,41,19
370,22909,36,65
370,33459,788,0
370,57540,978.5,0
370,57541,569.25,0
370,57542,1957,0
370,31119,276,0
370,59513,19.75,90
370,32122,4180,0
370,55427,185,0
370,12311,1431,0
370,61201,1.9,0
370,12927,1875,0
370,32497,818.25,4
370,34890,1323,0
