StoreID,SKU,RSP,Stock_On_Hand
242,12502,22.75,6
242,44924,42,0
242,33221,160.75,140
242,52677,69.75,62
242,55321,127.5,0
242,13096,666.75,3
242,12896,1333.75,0
242,12079,1194,1
242,68942,865,5
242,13009,1449.65,6
242,13010,1555.5,0
242,40185,103.75,0
242,13131,269.5,0
242,12926,1663.25,0
242,12923,35,0
242,12925,33.25,40
242,12924,22,0
242,12494,79,51
242,11208,32.25,9
242,11209,53.25,0
242,40941,24.75,240
242,40942,46.75,107
242,12123,53.25,0
242,34729,75,0
242,12584,14.75,0
242,12810,16.75,0
242,61005,148.5,2
242,68513,132.75,3
242,60581,257.25,0
242,60582,393.25,0
242,61399,138,8
242,61400,190,7
242,69432,1605,1
242,54172,99,4
242,54176,99,2
242,58684,190.75,8
242,73199,175,0
242,73200,145,0
242,73201,135,0
242,60305,25.25,22
242,60306,36.25,15
242,69595,456.5,4
242,69596,332.5,9
242,71719,49.5,1
242,84307,47.75,0
242,85442,65.5,0
242,85443,65.5,0
242,68469,198.5,0
242,68470,198.5,0
242,68471,313,0
242,68472,313,3
242,59289,337.25,1
242,59888,37.5,0
242,12495,22,1
242,11923,34.25,132
242,12546,54,419
242,40187,17.25,0
242,11517,51.25,232
242,13018,94.75,104
242,31574,1605.5,0
242,32347,2094,0
242,31575,1263,0
242,51606,144.75,8
242,11722,309.75,3
242,11485,165.75,3
242,12616,63,30
242,10898,348.75,16
242,33128,155,16
242,33127,155,15
242,34105,1500,4
242,33530,444,29
242,33354,220,1
242,68551,267.5,0
242,64778,160,0
242,59290,277.5,5
242,59536,165,0
242,34104,570,3
242,11174,122,4
242,34226,360,5
242,33307,175,7
242,12498,35.25,44
242,59181,269,3
242,68948,230,3
242,67553,53.5,9
242,51608,269.25,11
242,11714,364.75,8
242,11527,199,10
242,11719,404,7
242,33664,342.25,0
242,33663,334,0
242,33661,320.5,0
242,51609,148.75,3
242,34387,288,13
242,11723,432.75,9
242,11686,271,12
242,11189,92.75,1
242,10755,164,12
242,11718,232.75,6
242,10756,193,8
242,11715,382,10
242,11357,213,7
242,66436,28,35
242,63374,93.5,0
242,60307,56.5,25
242,33071,200,1
242,21040,4.75,2307
242,21897,43.5,64
242,21959,16,77
242,22279,23.5,722
242,10897,91.5,0
242,65158,23.25,0
242,32554,87.75,119
242,32582,74,7
242,34307,689.5,6
242,32965,90.5,2
242,57313,20,0
242,58791,26.25,82
242,34122,34.75,98
242,34227,436.25,0
242,58020,42.75,0
242,12667,28.5,167
242,13015,435,6
242,22153,60,40
242,34251,278.25,0
242,12377,30.75,0
242,20090,28.75,0
242,33667,19.5,0
242,11060,61.75,0
242,10806,84,0
242,20591,26.5,46
242,20857,55.5,0
242,22275,13,0
242,30506,37.75,4
242,33149,26.75,0
242,35101,20.25,100
242,10477,81,0
242,10476,331.75,0
242,12068,485.5,7
242,22152,39.25,103
242,32552,62.75,48
242,21120,110.25,0
242,32371,211.75,0
242,32974,475,0
242,45632,11.25,2
242,13168,23.25,0
242,59959,50,42
242,59960,33,32
242,60379,23,0
242,13138,21.75,0
242,34756,134.75,0
242,21438,68.5,358
242,65604,73.25,70
242,66352,102.75,41
242,40383,26.75,150
242,21861,253,0
242,22274,95,197
242,30451,51,46
242,30721,26.75,302
242,40249,59,39
242,40429,40.25,109
242,12658,27,96
242,51124,248,3
242,51128,28,0
242,33403,95,256
242,56718,45,111
242,58005,26.5,1
242,58371,23,100
242,59084,52.5,9
242,35041,65,161
242,32816,43.5,15
242,21819,39.25,5
242,35475,111,30
242,34773,217,0
242,40844,71.25,54
242,22246,39.75,86
242,31439,48.25,0
242,33540,53,0
242,22245,25,106
242,12275,16,0
242,21820,53,22
242,22226,70,80
242,30777,88.75,72
242,30720,23,98
242,69197,15.5,53
242,33755,119.25,0
242,12672,23,0
